timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773878102658,45,HTTP Request,200,OK,Stress Test 1-468,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102678,44,HTTP Request,200,OK,Stress Test 1-469,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102699,45,HTTP Request,200,OK,Stress Test 1-470,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102718,45,HTTP Request,200,OK,Stress Test 1-471,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102738,45,HTTP Request,200,OK,Stress Test 1-472,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102760,44,HTTP Request,200,OK,Stress Test 1-473,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102778,45,HTTP Request,200,OK,Stress Test 1-474,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102798,44,HTTP Request,200,OK,Stress Test 1-475,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,21
1773878102819,44,HTTP Request,200,OK,Stress Test 1-476,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102839,46,HTTP Request,200,OK,Stress Test 1-477,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,23
1773878102857,45,HTTP Request,200,OK,Stress Test 1-478,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102878,43,HTTP Request,200,OK,Stress Test 1-479,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102898,44,HTTP Request,200,OK,Stress Test 1-480,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102918,43,HTTP Request,200,OK,Stress Test 1-481,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102938,43,HTTP Request,200,OK,Stress Test 1-482,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102958,45,HTTP Request,200,OK,Stress Test 1-483,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102978,45,HTTP Request,200,OK,Stress Test 1-484,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102998,44,HTTP Request,200,OK,Stress Test 1-485,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878103018,45,HTTP Request,200,OK,Stress Test 1-486,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878103039,45,HTTP Request,200,OK,Stress Test 1-487,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878103059,44,HTTP Request,200,OK,Stress Test 1-488,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878103078,44,HTTP Request,200,OK,Stress Test 1-489,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,21
1773878103098,45,HTTP Request,200,OK,Stress Test 1-490,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878103118,44,HTTP Request,200,OK,Stress Test 1-491,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878103138,44,HTTP Request,200,OK,Stress Test 1-492,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878103158,43,HTTP Request,200,OK,Stress Test 1-493,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878103178,44,HTTP Request,200,OK,Stress Test 1-494,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878103198,45,HTTP Request,200,OK,Stress Test 1-495,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878103219,46,HTTP Request,200,OK,Stress Test 1-496,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,22
1773878103239,44,HTTP Request,200,OK,Stress Test 1-497,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878103258,45,HTTP Request,200,OK,Stress Test 1-498,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878103278,44,HTTP Request,200,OK,Stress Test 1-499,text,true,,197,121,2,2,http://54.159.81.233:8080/match,44,0,22
1773878103298,43,HTTP Request,200,OK,Stress Test 1-500,text,true,,197,121,1,1,http://54.159.81.233:8080/match,43,0,21
